epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,18955,0.59746,0.32591,1.17153,0.90719,0.88365,0.9307,0.65429,1.12875,0.55051,1.76073,0.00109,0.00109,0.00109
92,19156.7,0.57478,0.30956,1.15842,0.91396,0.88077,0.93147,0.65518,1.12989,0.5493,1.76536,0.000991,0.000991,0.000991
93,19363.7,0.5629,0.30363,1.14865,0.91039,0.87788,0.92983,0.65499,1.1249,0.55172,1.76568,0.000892,0.000892,0.000892
94,19567.2,0.5535,0.30182,1.14091,0.90938,0.87803,0.93046,0.65478,1.12448,0.55484,1.76867,0.000793,0.000793,0.000793
95,19768.3,0.54153,0.29055,1.13027,0.90411,0.88269,0.92899,0.65415,1.12375,0.55764,1.77293,0.000694,0.000694,0.000694
96,19966.9,0.53839,0.28888,1.1245,0.89995,0.88942,0.92895,0.65468,1.12247,0.56048,1.77369,0.000595,0.000595,0.000595
97,20165.8,0.52623,0.28038,1.11665,0.89237,0.89135,0.92789,0.65416,1.12424,0.56482,1.77983,0.000496,0.000496,0.000496
98,20365.5,0.52213,0.2792,1.11143,0.89041,0.89057,0.92767,0.65489,1.12665,0.56792,1.78565,0.000397,0.000397,0.000397
99,20563.5,0.50864,0.27312,1.10107,0.89801,0.88049,0.92644,0.65414,1.12851,0.56842,1.79155,0.000298,0.000298,0.000298
100,20762.4,0.50977,0.27232,1.10258,0.89816,0.87885,0.92591,0.65316,1.12927,0.56957,1.79572,0.000199,0.000199,0.000199
